Username	Category	#Followers	#Followees	#Posts
stjohnnnn	beauty	39736	1360	1340
brushinarushbyjr	beauty	5894	1597	999
makeup_with_nessa	beauty	10375	7094	510
_bubsbee	beauty	54819	558	447
nikkii_makeup	beauty	10765	5602	391
anubismakeup	beauty	190965	1189	1080
cosmobyhaley	beauty	955823	628	1025
joos_makeup	beauty	4685	388	496
letreirofeminino	beauty	20822	1884	533
beatyafaceduo	beauty	7965	2119	634
_lahrin_	beauty	15312	1741	339
inspobyelvirall	beauty	26230	140	397
flawdecaybeauty	beauty	1648	701	386
blonde25	beauty	17894	6396	2301
megfeather	beauty	419340	933	429
brooke.ellis_	beauty	29748	624	1420
lola_von_esche	beauty	105673	961	898
lovleesazy	beauty	18321	852	908
hairbysaretta	beauty	11011	989	968
loveevelyn13	beauty	2088	1736	398
marianamaldona2	beauty	4396	966	294
hair.by.adam	beauty	46026	465	530
ashghotcakess	beauty	67062	1006	611
courteney_mua	beauty	19700	493	575
lovemascara	beauty	240768	977	3606
tanyatomamua	beauty	10158	1758	734
pinkyboicourt	beauty	5232	6307	3185
nadabeauty78	beauty	27324	473	1312
katsketch	beauty	113994	710	3023
cherie_flavor	beauty	43036	289	1665
jessicamakems	beauty	215335	2338	5791
briciaemilyn	beauty	246297	240	1146
sofisticatamentedonna	beauty	1917	1061	960
quemdisseberenice	beauty	2887173	347	1163
aura_glitz	beauty	24700	642	740
belle_of_the_ball_beauty83	beauty	19075	7500	748
mikaatbhc	beauty	72007	4020	1231
angelalamarie_	beauty	65617	1747	1685
shelleygregoryhair	beauty	107146	2034	1301
katesbeautystation	beauty	16454	1357	550
jordrivera_	beauty	2723	1125	2619
ellasdaily	beauty	23603	1389	426
kimberleymargarita_	beauty	624847	1041	938
kariiahlg	beauty	1585	1469	1693
youngberrygram	beauty	8000	303	900
mystiicx_makeup	beauty	2190	333	197
ckck_banban	beauty	15003	234	1090
vaeiolet	beauty	3816	474	787
me_salon	beauty	4963	3668	1186
alessaberry	beauty	18575	1916	465
beautybyjulia	beauty	93026	2254	3049
abyxo	beauty	25195	860	459
dailybaileyb	beauty	13870	1814	1574
araako	beauty	16419	828	715
xoalexandram	beauty	12585	1996	574
